user_id,session_id,event_name,event_timestamp,device,app_version
649,74a4059b-b6df-473f-b18e-4114e272d697,session_end,2025-02-22 21:24:25,phone,1.5.5
644,9e667421-85ff-42b0-bd4f-6124e6087b5b,page_view,2025-02-02 08:04:34,tablet,2.5.0
735,06b86e22-8c77-4dfc-869e-3b0d01a99b5b,page_view,2024-11-09 17:56:26,tablet,1.7.7
174,3bb6812e-e1a3-4490-b3d6-36342cc4982d,page_view,2024-08-05 07:38:54,tablet,3.8.9
408,8594fc23-b303-4311-b9f1-a182ff724a95,purchase,2025-04-02 12:40:50,phone,3.4.5
28,fbc5dd06-319b-4121-b886-e7b76b310cdd,page_view,2025-02-01 02:26:09,tablet,2.8.0
792,939eece9-c623-4d5e-be6a-cc3479ac5bce,page_view,2025-08-10 09:51:58,tablet,1.8.3
204,69114bcf-fa13-4300-a11e-f2751c85599c,session_end,2025-05-16 20:13:25,phone,1.2.9
124,44f834e3-0bc1-473d-ba8a-1c6b1024e8f6,page_view,2025-02-09 08:59:24,tablet,2.8.0
714,0d091dde-532f-4836-b488-6ac01858d89b,add_to_cart,2025-03-03 21:59:32,desktop,2.3.7
215,5be0a1fe-2d4a-415d-93b6-a326ba7f1d54,session_end,2024-09-13 00:01:59,tablet,1.5.0
740,ecccb4d8-5e83-439a-baf2-33bd217ccddb,page_view,2025-05-28 01:35:53,phone,2.0.5
106,d3f87e9a-1807-4c66-a868-2959258c56ef,add_to_cart,2024-09-05 15:26:36,desktop,2.5.8
236,ee412d81-5dc7-41c9-8784-606d8306ebf6,page_view,2025-09-18 23:09:03,phone,2.3.3
299,379ae46e-4faa-4451-9171-4622480b1021,page_view,2025-06-03 11:17:02,phone,2.4.6
443,56f2c0d2-2d7a-46ad-91dd-03fc8668456b,page_view,2024-08-30 00:07:07,desktop,2.3.9
635,3b3fee1a-95c1-4d6b-a171-abc5f381c717,page_view,2025-08-04 14:00:41,tablet,3.2.0
726,940aee3f-e79d-4d2b-ad64-c1e9f5ef84d7,add_to_cart,2025-03-09 08:07:31,desktop,1.1.0
184,9758f65a-0077-4d9f-ae64-7cde1e617b82,page_view,2025-08-15 23:57:53,tablet,3.1.9
336,d4f0e67d-d480-452e-8d31-68e1abbb3029,page_view,2024-10-29 07:28:11,phone,2.9.7
488,3ac4b1fe-db3b-4423-801e-3445ec84f79d,page_view,2025-07-31 12:59:41,desktop,1.0.6
90,6481b008-af7f-4954-bde5-f347b56fcb0f,page_view,2025-02-21 17:35:40,tablet,2.5.4
723,35b8f1f3-7b18-4e66-ac69-9994e4fa134a,page_view,2025-08-03 10:26:53,desktop,2.0.5
685,21a07fd4-9d50-4b3c-862c-ff87ac22f8b2,page_view,2024-12-21 11:15:42,desktop,2.0.6
541,80620c9b-d824-4802-8ba4-132bc62eaa76,page_view,2025-08-01 08:21:16,tablet,1.7.1
652,c6072ff5-3564-4a8b-a94e-ba0e90afdbcd,session_end,2024-11-02 00:18:14,phone,1.3.6
98,c04f1461-9943-4e1b-bdaa-ac2bb36677bd,page_view,2025-01-17 15:40:11,desktop,1.7.7
260,5e7214ba-5427-443d-bb55-a27a09875129,page_view,2025-05-10 15:52:37,phone,3.4.1
717,6c01c052-085a-489e-8334-8a393a6e9485,session_end,2025-01-08 20:39:00,desktop,2.6.8
457,72416aee-bb58-4684-8ad4-a6419fac1ac6,page_view,2024-08-07 23:25:42,phone,3.0.7
593,e27fb141-632f-4135-8fb6-dd898a528136,add_to_cart,2024-09-21 08:54:17,phone,2.5.1
31,4c78ad17-829e-4a45-9ef1-0a7045785b75,page_view,2025-06-28 21:44:38,tablet,1.7.8
210,0e27b880-3996-45ce-baa7-8c8775b1e175,page_view,2025-03-23 02:19:48,phone,2.8.3
11,cb3bda0b-1974-49a3-a7d4-c9a380ad0ef9,page_view,2025-01-25 02:11:28,tablet,2.3.6
337,6a8324b3-7db2-475a-bac7-f1f8e2488a3b,page_view,2025-03-10 04:05:32,desktop,2.4.9
133,f109a72a-fbc3-49b0-bd33-e8d7f6d8b745,page_view,2025-08-08 05:06:02,desktop,3.0.3
121,b63399be-1f6e-40fa-bad1-b2f5050adef4,page_view,2025-07-17 20:02:30,phone,1.6.4
252,055119ab-b559-4c1c-9518-7db7a789abde,page_view,2024-10-04 05:46:18,phone,3.5.9
515,fb980263-8ae7-4ff6-a6a2-03bbe2b39dab,session_end,2025-02-24 08:52:03,tablet,1.8.8
675,fc1d847b-3f94-444f-ae95-1c2a6495cf73,session_end,2025-04-03 00:25:41,phone,1.0.3
191,777b6de4-d4e1-4f4a-9dc5-9f7d365b2020,page_view,2024-08-27 03:44:05,tablet,2.0.5
159,0f3bef81-2cdb-460e-aec2-0b92dea434ba,page_view,2025-06-25 19:21:35,desktop,1.5.2
212,53623f6c-6e9f-4b5c-9edd-35e40dd04dca,purchase,2024-08-30 07:58:29,phone,3.9.6
391,f3356e1e-fda3-4166-acdb-460279de6be3,page_view,2024-12-31 02:36:13,phone,1.3.5
410,b1eea81f-047e-482d-9eda-0ddb1f591c8e,page_view,2025-05-01 21:23:31,desktop,1.0.7
612,e76e0490-02be-4de7-95db-f616631f6ae8,add_to_cart,2024-10-31 03:21:56,tablet,1.2.7
214,213df46a-5770-4b1a-b54b-698e3f7c3492,session_start,2024-12-05 21:06:34,desktop,3.9.5
221,42123d17-7ae3-41fe-a53f-68fd86c751f7,page_view,2024-10-12 13:26:15,tablet,1.0.4
132,4e88eb16-2502-42ef-b4cb-82839601ab1d,session_start,2025-01-03 17:10:45,phone,1.0.6
530,31416381-56ac-4f52-8cd0-156743fcab47,add_to_cart,2024-11-07 02:41:07,desktop,2.8.1
710,4c108808-d28f-45b3-8259-80ef276b2fea,page_view,2024-08-26 06:27:10,desktop,2.4.8
295,6657a847-c373-4868-90e9-ac93f0fa6d37,page_view,2025-07-15 04:41:02,phone,2.7.7
615,5fa352d1-1803-443e-8ee8-fe6c3ed81e3e,purchase,2025-07-14 06:00:19,phone,3.2.4
734,a0c2346c-926e-4c1c-8ef6-ec155485410f,page_view,2025-04-13 22:28:41,tablet,1.8.1
